读者ID,ISBN,品类,年龄区间,性别,单次购买力区间,复购,购买日期
R73904,9781043321819,文学,26-35,女,20-50,1,2025-01-01
R54608,9781043321819,文学,36-45,女,20-50,0,2025-01-01
R35042,9783890838637,文学,18-25,男,50-100,1,2025-01-01
R74038,9783890838637,文学,18-25,女,50-100,0,2025-01-01
R72402,9783890838637,文学,36-45,男,50-100,0,2025-01-01
R12260,9783890838637,文学,55+,女,50-100,1,2025-01-01
R41890,9783890838637,文学,18-25,男,50-100,0,2025-01-01
R65771,9786542351161,文学,26-35,女,20-50,0,2025-01-01
R56112,9786542351161,文学,26-35,男,20-50,0,2025-01-01
R42951,9786542351161,文学,18-25,男,20-50,1,2025-01-01
R34267,9780781618495,文学,26-35,女,50-100,1,2025-01-01
R46241,9780781618495,文学,36-45,男,50-100,0,2025-01-01
R78765,9780781618495,文学,26-35,女,50-100,0,2025-01-01
R35443,9780781618495,文学,18-25,女,50-100,0,2025-01-01
R49618,9780781618495,文学,18-25,男,50-100,1,2025-01-01
R82529,9783413164752,文学,55+,女,20-50,0,2025-01-01
R85243,9781928327648,文学,46-55,男,20-50,0,2025-01-01
R43092,9780564139537,文学,18-25,女,20-50,0,2025-01-01
R85631,9782388496965,文学,26-35,男,20-50,0,2025-01-01
R21164,9780122691669,文学,18-25,女,50-100,0,2025-01-01
R64548,9780122691669,文学,36-45,男,50-100,0,2025-01-01
R39581,9780122691669,文学,26-35,女,50-100,0,2025-01-01
R66207,9781845146270,文学,18-25,女,50-100,0,2025-01-01
R89905,9781845146270,文学,36-45,女,50-100,0,2025-01-01
R37235,9781845146270,文学,36-45,女,50-100,0,2025-01-01
R20641,9781845146270,文学,18-25,男,50-100,1,2025-01-01
R19838,9781845146270,文学,26-35,男,50-100,1,2025-01-01
R47762,9781489325288,社科,46-55,男,50-100,0,2025-01-01
R69510,9781489325288,社科,26-35,男,50-100,1,2025-01-01
R96662,9781543039117,社科,46-55,男,50-100,0,2025-01-01
R25043,9781543039117,社科,36-45,男,50-100,0,2025-01-01
